ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,teamRegionName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,goal,assistTotal,yellowCard,redCard,shotsPerGame,aerialWonPerGame,manOfTheMatch,isManOfTheMatch,playedPositionsShort,name,passSuccess
1,8187,2020/2021,13,155,nl,Netherlands,rs,Eredivisie,NE,Dusan,Tadic,29474,True,True,130,Ajax,Netherlands,-AMC-AML-AMR-FW-,32,181,76,Forward,32,2,2516,7.957812499999999,14,17,1.0,0.0,2.28125,0.46875,7,False,"AM(CLR),FW",Dusan Tadic,76.566757493188
2,8187,2020/2021,13,155,nl,Netherlands,ci,Eredivisie,NE,Sébastien,Haller,236544,True,True,130,Ajax,Netherlands,-FW-,26,190,82,Forward,17,1,1403,7.709411764705883,9,5,2.0,0.0,2.7058823529411766,4.176470588235294,4,False,FW,Sébastien Haller,71.93347193347194
3,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Ryan,Gravenberch,363884,True,True,130,Ajax,Netherlands,-DMC-,18,190,0,Midfielder,30,0,2506,7.320333333333333,3,5,3.0,0.0,1.5666666666666667,1.2333333333333334,0,False,DMC,Ryan Gravenberch,87.20152817574021
4,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Davy,Klaassen,108860,True,True,130,Ajax,Netherlands,-MC-ML-,28,179,70,Midfielder,28,2,2166,7.302142857142857,12,3,2.0,0.0,1.5357142857142858,1.0,3,False,M(CL),Davy Klaassen,85.40268456375838
5,8187,2020/2021,13,155,nl,Netherlands,ar,Eredivisie,NE,Nicolás,Tagliafico,83809,True,True,130,Ajax,Netherlands,-DC-DL-,28,172,65,Defender,25,0,2010,7.1599999999999975,1,3,5.0,1.0,1.52,2.08,1,False,D(CL),Nicolás Tagliafico,82.66228430566967
6,8187,2020/2021,13,155,nl,Netherlands,br,Eredivisie,NE,Antony Matheus,dos Santos,364315,True,True,130,Ajax,Netherlands,-AMR-,21,172,63,Forward,30,7,1705,7.132666666666668,8,8,1.0,0.0,1.8,0.26666666666666666,5,False,AM(R),Antony,80.2919708029197
7,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Daley,Blind,70033,True,True,130,Ajax,Netherlands,-DC-DL-DMC-ML-,31,180,72,Defender,23,0,1964,7.093043478260872,1,1,3.0,0.0,0.7391304347826086,1.9130434782608696,0,False,"D(CL),DMC,M(L)",Daley Blind,86.58922914466737
8,8187,2020/2021,13,155,nl,Netherlands,ar,Eredivisie,NE,Lisandro,Martínez,340105,True,True,130,Ajax,Netherlands,-DC-DL-DMC-,23,175,77,Midfielder,24,9,1570,7.081666666666667,2,1,3.0,0.0,1.125,1.4583333333333333,0,False,"D(CL),DMC",Lisandro Martínez,88.19875776397515
9,8187,2020/2021,13,155,nl,Netherlands,ma,Eredivisie,NE,Noussair,Mazraoui,349932,True,True,130,Ajax,Netherlands,-DR-,23,183,62,Defender,19,3,1216,7.076315789473684,0,1,0.0,0.0,0.631578947368421,0.7368421052631579,0,False,D(R),Noussair Mazraoui,82.88770053475936
10,8187,2020/2021,13,155,nl,Netherlands,mx,Eredivisie,NE,Edson,Álvarez,322696,True,True,130,Ajax,Netherlands,-DC-DMC-,23,187,71,Midfielder,24,6,1551,7.040416666666666,2,2,4.0,2.0,1.25,2.4166666666666665,2,False,"D(C),DMC",Edson Álvarez,85.48249359521776
11,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Sean,Klaiber,135271,True,True,130,Ajax,Netherlands,-DR-MC-MR-,26,184,77,Defender,13,7,719,7.038461538461539,0,2,1.0,0.0,0.6923076923076923,0.6923076923076923,0,False,"D(R),M(CR)",Sean Klaiber,89.63531669865642
12,8187,2020/2021,13,155,nl,Netherlands,,Eredivisie,NE,Lassina,Traoré,373291,True,True,130,Ajax,Netherlands,-FW-,20,183,0,Forward,12,5,555,7.004166666666667,7,4,0.0,0.0,1.5833333333333333,1.0833333333333333,1,False,FW,Lassina Traoré,73.24840764331209
13,8187,2020/2021,13,155,nl,Netherlands,cm,Eredivisie,NE,André,Onana,260843,True,True,130,Ajax,Netherlands,-GK-,25,190,93,Goalkeeper,20,0,1800,6.966500000000001,0,0,1.0,0.0,0.0,0.15,0,False,GK,André Onana,79.88077496274218
14,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Klaas Jan,Huntelaar,8013,False,True,130,Ajax,Netherlands,-FW-,37,186,83,Forward,11,8,386,6.959090909090909,7,1,0.0,0.0,1.8181818181818181,0.7272727272727273,0,False,FW,Klaas Jan Huntelaar,82.05128205128204
15,8187,2020/2021,13,155,nl,Netherlands,,Eredivisie,NE,Jurriën,Timber,388650,True,True,130,Ajax,Netherlands,-DC-,19,179,65,Defender,18,4,1329,6.957777777777777,1,0,0.0,0.0,0.2777777777777778,1.0555555555555556,0,False,D(C),Jurriën Timber,88.30022075055187
16,8187,2020/2021,13,155,nl,Netherlands,nl,Eredivisie,NE,Maarten,Stekelenburg,4065,True,True,130,Ajax,Netherlands,-GK-,38,197,92,Goalkeeper,10,0,900,6.941,0,0,0.0,0.0,0.0,0.1,1,False,GK,Maarten Stekelenburg,78.94736842105263
17,8187,2020/2021,13,155,nl,Netherlands,,Eredivisie,NE,Devyne,Rensch,400165,True,True,130,Ajax,Netherlands,-DR-,18,179,0,Defender,16,6,752,6.875,2,2,0.0,0.0,0.375,0.125,1,False,D(R),Devyne Rensch,83.92370572207084
